# Terminal Average_Latency(ns) Received_Packets
0 250 37
1 233 58
2 244 37
3 321 37
4 248 52
5 220 61
6 191 50
7 258 38
8 247 50
9 250 38
10 225 51
11 277 56
12 305 36
13 246 48
14 257 52
15 299 48
